Net: Toplevel network.,Parameter Value,Distance,Alt1,Alt2,Alt3,p0 of Alt1,p0 of Alt2,p0 of Alt3,Ranking Alt1,Ranking Alt2,Ranking Alt3,Dist: Taxi Cab,Dist: Avg % difference with known,Dist: Avg % difference without known,Dist: Max of differences,Dist: Max of % differences with known,Dist: Max of % differences without known,Dist: Max % change,Dist: Average % change,Dist: Rank distance 1
Original Values,0.500000,0.000000,0.367297,0.288242,0.344461,0.000000,0.000000,0.000000,1.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
A1:upper,0.900000,0.515384,0.393141,0.436797,0.170062,0.500000,0.500000,0.500000,2.000000,1.000000,3.000000,0.348799,0.364015,0.385222,0.174400,0.515384,0.677908,1.025509,0.537086,4.000000
A2:upper,0.900000,0.560772,0.479133,0.126604,0.394263,0.500000,0.500000,0.500000,1.000000,3.000000,2.000000,0.323276,0.336612,0.392785,0.161638,0.560772,0.779268,1.276722,0.575262,0.000000
A3:upper,0.900000,1.545281,0.134066,0.733657,0.132277,0.500000,0.500000,0.500000,2.000000,1.000000,3.000000,0.890830,0.932087,0.897426,0.445415,1.545281,0.930387,1.739671,1.629681,4.000000
A4:upper,0.900000,0.666183,0.122610,0.312048,0.565342,0.500000,0.500000,0.500000,3.000000,2.000000,1.000000,0.489374,0.463336,0.521262,0.244687,0.666183,0.998913,1.995655,0.906494,4.000000
A5:upper,0.900000,0.581578,0.580908,0.261364,0.157728,0.500000,0.500000,0.500000,1.000000,2.000000,3.000000,0.427223,0.405643,0.430682,0.213612,0.581578,0.743678,1.183896,0.622771,2.000000
Alt1:upper,0.900000,1.561808,0.940944,0.026508,0.032548,0.500000,0.500000,0.500000,1.000000,3.000000,2.000000,1.147294,1.125118,1.398255,0.573647,1.561808,1.663122,9.873744,7.006200,0.000000
Alt2:upper,0.900000,2.234125,0.035241,0.932211,0.032548,0.500000,0.500000,0.500000,2.000000,1.000000,3.000000,1.287938,1.347896,1.453259,0.643969,2.234125,1.654668,9.583049,7.079911,4.000000
Alt3:upper,0.900000,1.723823,0.035241,0.026508,0.938251,0.500000,0.500000,0.500000,2.000000,3.000000,1.000000,1.187580,1.178637,1.412924,0.593790,1.723823,1.663122,9.873744,7.006709,2.000000
B1:upper,0.900000,0.165914,0.428236,0.254046,0.317718,0.500000,0.500000,0.500000,1.000000,3.000000,2.000000,0.121879,0.120730,0.120032,0.060939,0.165914,0.153204,0.165914,0.128231,0.000000
B2:upper,0.900000,0.339941,0.336064,0.202378,0.461558,0.500000,0.500000,0.500000,2.000000,3.000000,1.000000,0.234193,0.240954,0.243129,0.117096,0.339941,0.350022,0.424274,0.285717,2.000000
B3:upper,0.900000,0.117164,0.384248,0.254471,0.361282,0.500000,0.500000,0.500000,1.000000,3.000000,2.000000,0.067543,0.070715,0.072410,0.033771,0.117164,0.124454,0.132713,0.075898,0.000000
C1:upper,0.900000,0.336464,0.410243,0.191259,0.398498,0.500000,0.500000,0.500000,1.000000,3.000000,2.000000,0.193966,0.203421,0.220149,0.096983,0.336464,0.404516,0.507076,0.260292,0.000000
C2:upper,0.900000,0.519716,0.176407,0.335499,0.488094,0.500000,0.500000,0.500000,3.000000,2.000000,1.000000,0.381780,0.366881,0.399584,0.190890,0.519716,0.702184,1.082100,0.554342,4.000000
C3:upper,0.900000,0.441023,0.273113,0.230511,0.496377,0.500000,0.500000,0.500000,2.000000,3.000000,1.000000,0.303830,0.299245,0.292686,0.151915,0.441023,0.361343,0.441023,0.345442,2.000000
C4:upper,0.900000,0.454697,0.509509,0.302655,0.187836,0.500000,0.500000,0.500000,1.000000,2.000000,3.000000,0.313251,0.297296,0.320553,0.156625,0.454697,0.588489,0.833843,0.423678,2.000000
D1:upper,0.900000,0.195159,0.438978,0.240319,0.320703,0.500000,0.500000,0.500000,1.000000,3.000000,2.000000,0.143363,0.143464,0.143526,0.071681,0.195159,0.181333,0.199413,0.156218,0.000000
