Net: Toplevel network.,Parameter Value,Distance,Normal Alt1,Normal Alt2,Normal Alt3,p0 of Alt1,p0 of Alt2,p0 of Alt3,Ranking Alt1,Ranking Alt2,Ranking Alt3,Dist: Taxi Cab,Dist: Avg % difference with known,Dist: Avg % difference without known,Dist: Max of differences,Dist: Max of % differences with known,Dist: Max of % differences without known,Dist: Max % change,Dist: Average % change,Dist: Rank distance 1,Error
Original Values,0.500000,0.000000,0.367297,0.288242,0.344461,0.000000,0.000000,0.000000,1.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Alt1,0.999219,0.775412,0.999587,0.000184,0.000229,0.500000,0.500000,0.500000,1.000000,3.000000,2.000000,1.264581,1.240056,1.639982,0.632290,1.721471,1.997451,1567.478754,1023.517259,0.000000,0.000508
Alt2,0.999219,0.871292,0.000243,0.999527,0.000229,0.500000,0.500000,0.500000,2.000000,1.000000,3.000000,1.422570,1.488779,1.699789,0.711285,2.467665,1.997350,1507.648500,1003.822573,4.000000,0.000582
Alt3,0.999219,0.804286,0.000243,0.000184,0.999573,0.500000,0.500000,0.500000,2.000000,3.000000,1.000000,1.310223,1.300181,1.656548,0.655111,1.901844,1.997451,1567.478754,1025.676366,2.000000,0.000528
B1,0.998437,0.111542,0.454772,0.222555,0.322674,0.500000,0.500000,0.500000,1.000000,3.000000,2.000000,0.174951,0.176434,0.178444,0.087475,0.238160,0.257197,0.295153,0.200279,0.000000,0.000797
B2,0.999219,0.211085,0.335502,0.157442,0.507056,0.500000,0.500000,0.500000,2.000000,3.000000,1.000000,0.325190,0.337459,0.353113,0.162595,0.472027,0.586966,0.830787,0.465861,2.000000,0.000582
B3,0.998437,0.068113,0.398077,0.232738,0.369185,0.500000,0.500000,0.500000,1.000000,3.000000,2.000000,0.111008,0.116046,0.120932,0.055504,0.192560,0.213075,0.238483,0.131353,0.000000,0.000520
C1,0.993750,0.135220,0.415179,0.178146,0.406675,0.500000,0.500000,0.500000,1.000000,3.000000,2.000000,0.220192,0.230978,0.253387,0.110096,0.381957,0.472123,0.618011,0.309663,0.000000,0.000981
C2,0.998437,0.279574,0.147858,0.343504,0.508638,0.500000,0.500000,0.500000,3.000000,2.000000,1.000000,0.438878,0.421928,0.470594,0.219439,0.597444,0.851935,1.484125,0.717488,4.000000,0.000272
C3,0.996875,0.215252,0.258297,0.223343,0.518360,0.500000,0.500000,0.500000,2.000000,3.000000,1.000000,0.347797,0.342253,0.335093,0.173899,0.504842,0.403093,0.504842,0.405805,2.000000,0.000808
C4,0.996875,0.241437,0.529041,0.304965,0.165993,0.500000,0.500000,0.500000,1.000000,2.000000,3.000000,0.356936,0.338830,0.372178,0.178468,0.518108,0.699251,1.075152,0.524512,2.000000,0.000850
D1,0.996875,0.116910,0.461110,0.226061,0.312830,0.500000,0.500000,0.500000,1.000000,3.000000,2.000000,0.187627,0.187657,0.188183,0.093813,0.255416,0.241809,0.275066,0.210532,0.000000,0.000946
D2,0.998437,0.151213,0.373715,0.178254,0.448031,0.500000,0.500000,0.500000,2.000000,3.000000,1.000000,0.219977,0.233244,0.250085,0.109989,0.381584,0.471552,0.617034,0.311727,2.000000,0.000600
A1,0.998437,0.277703,0.399895,0.466269,0.133836,0.500000,0.500000,0.500000,2.000000,1.000000,3.000000,0.421251,0.439282,0.479204,0.210625,0.617629,0.880731,1.573760,0.760047,4.000000,0.000653
A2,0.998437,0.253809,0.499720,0.083981,0.416299,0.500000,0.500000,0.500000,1.000000,3.000000,2.000000,0.408522,0.425910,0.530616,0.204261,0.708644,1.097520,2.432232,1.000440,0.000000,0.000797
A3,0.999219,0.666937,0.083686,0.832635,0.083679,0.500000,0.500000,0.500000,2.000000,1.000000,3.000000,1.088785,1.139298,1.149107,0.544393,1.888664,1.257744,3.388974,2.798032,4.000000,0.000857
A4,0.999219,0.414335,0.062937,0.312513,0.624550,0.500000,0.500000,0.500000,3.000000,2.000000,1.000000,0.608718,0.575323,0.691248,0.304359,0.828647,1.414854,4.835897,1.911073,4.000000,0.000629
A5,0.998437,0.339895,0.624395,0.250190,0.125415,0.500000,0.500000,0.500000,1.000000,2.000000,3.000000,0.514197,0.489300,0.530735,0.257098,0.699975,0.932354,1.746561,0.866210,2.000000,0.000762
