Net: Toplevel network.	Alt1	Alt2	Alt3	B1	B2	B3	C1	C2	C3	C4	D1	D2	A1	A2	A3	A4	A5	
Alt1	0	0	0	0.08220114325120218936897869386050216826046899965516274452994889021340288779805577	0.06058127043496205102636438761945897183096105776222087963485570688398652562985295	0.0719263235531568150655784506387638652206900429903351637765160743595991183242808	0.1787097904224261000650364024728349005561903347256975731702564049337011534458145	0.06330916384826203579126274506081844293720694714521744374302525898480124350274222	0.1109209713392447438953413756910097934254402384859971008014753018709600619662983	0.2278081904066185730035748949778811881136488888001737959998807913076415809820817	0.08466362169919903685451152498182515134521592438143894963614871623738461349970297	0.06851583695977174829688532644100253622649548677339404340333782285553151377646608	0.09581564085782599190035034904716349262172738650810609865628313796828164362777507	0.1197683112959013674874240628366999942066883336949412225490873553289536938948427	0.01996716647391360239247669640983242115806858033479501533843443046899363993845499	0.01497803182322290298701790181189297232036610166524001168442162306096935363860133	0.1497086162826499099250387036640450219122245518735584967104174618066966048859145	
Alt2	0	0	0	0.04007685461763252319859689718623239968110631186954462326346448447210557512962044	0.02835739075795243054008181256713921661137348395585952413603931193542861377156742	0.04195038582918111849898726117972284368887458557947522150107266393166478999084669	0.07629573875661870595134449262412973564315957399030020269332688171977520522752328	0.147764497231649904368870143681188566089330711743476514027154904954038345070773	0.0959846949814207763521526095226322348435263782184702867000562317605395857852648	0.1312121071579933425794902972074652549566098017006441064652816588388251636028948	0.04135062783656220373837630853907321488171768215159868079398205296846172209038087	0.03259495658722750745287968486312089664200697523454255564882729532504689167983864	0.1117827957523256797915115458285520640203075540046403780927070964220736908902106	0.01996670150436085501168246295922841334242736528423422397961979573038671206229216	0.1996069270976886745877886163718421858885803562354067077366180918928617119371683	0.0748568455797423082526195726245665139856161730275706006311335265303528627552049	0.0598867524533226532091965417223195400773869302170638637782627403544368017256571	
Alt3	0	0	0	0.05828466870443669421604044768721899476337866862517155858585994951096453667614014	0.09162413277846805474709698857928421232851042087533321199186192200335383204519462	0.06668598558900803387816964218031458621141014852136095255694113591819119510216161	0.1751476834586556658104513225819757475987734976852358263108481031487310132582539	0.2190784812069434879073641472162171676490494971546134964566571005469737617382508	0.223246903913630274093840482861444533840465025469661557888973758259739198103195	0.07113358397365131244614236776473123122245530391180268373134995585661134491365432	0.05729457665519426740914839523407640871336954739818332026615270742503674265075064	0.08219721020751312579132593409598921162690179239545945872392976788080358736206841	0.03194265428726379217000888015519904818300291706076097458222296859162307099027073	0.09980589065994889706088010450796862853046919902067884334665439031234104068265013	0.01996705785234919142672344172564842953373265580263140992542025058928979172888514	0.1497063989385411458491248595066676393080815798115426430495584130952328543855892	0.02994582084050968854484966524130191972613314184782419494731886201567255124527997	
B1	0	0	0	0	0.000007502924018180523082618873701969851416086233900025564625421603137252541006139307	0.000005536130153940612067503774391625856215681620789302972167749959978107535733810818	0.03105044959131849306880448511672697602482304879572226930338390290870309648924626	0.06289252610976885395061253134051822638583881805208863704158451785972173411391864	0.03808508019305871232038484574801498977586883954637609409068105638074215531835004	0.05039569579237557518514184276961445282120175708060207375074085832826285503904605	0.03540123958213280032844814329748914478305276041931767381590391853799555252490896	0.03343444433254699251550299268114403187006286011986017899520799001755052898983427	0.1736098277733499694217769510330198535941196722208702376838749038668658685428357	0.1444636938397482021059314833279630375229907460118426608840107434050685098969168	0.1092223772853270556122144135450769848063561510940880688374702591364439743851855	0.05464374199787903189624223539373120335291176414743184977740925033018932995482383	0.06468315894093202809526246015498844147258840994941012729381978205660956925515677	
B2	0	0	0	0.000006615526717978100061375065692031750986618546521491743484307195616234698045595	0	0.000007191172887094991909824835481052403322369707775473769348615597771749683694202647	0.06066992696827347162610146901721155445347541360889479939725661603676875147256317	0.04566828590079719584143027960826082360986376489636128685782506966228325267442861	0.05950841650849251416522866717410167332452940082526033276277142122180981803160693	0.05686151753749603108313225496761202690902660565182825850645178535237630662230613	0.0707992661053728975901703838674089915499386408883614292197075100529433797433829	0.06686604416722122581060690887180330248651833942419042228138365314154577576459086	0.1226650207407043099336732353467765968799820726243270230750940213789976750833486	0.1292430012041417061519578480702497934118574011102381613978041080793480508853157	0.08157245806481085626995414795922341009971470925944481572401050538080541678951839	0.1991035335007379199145530885837328874200578312240342978816330301953052281237259	0.1293626616819841149986071415285452440242762291940178205242715841947769874445426	
B3	0	0	0	0.000006269049746143953797532659256103029332689879805984081251652675344130649844529495	0.000004676099786146094840052178229974463601886171955116425067713507801122229021192311	0	0.04794864612652775555170739009183651332744094504050524136112003076234371739998952	0.03110786313692773256834043121360358302479469675095272239202036090084373526375621	0.04207531739875984032394269028383018045681539964857090396847036891771727084471392	0.03241202654557770050120441978069481087650365490185380186857328917134328443263657	0.09439652843290177465419523975132034937099765317198613076760572676729873493776336	0.1002956456186335045683394111100922684997651592208215786953971870651858913835048	0.08393114338505568902166410491267520943538376157301306622038865128562774162800354	0.106498999349903002879563177040896931164672672775421158913233942949770330482531	0.1894112526183001417367598445460313188836374834437048148445131005666599033808017	0.1264590107422874098929431788699862238963208845344935786365306884758738498157604	0.1861603279022337543655265884826030877070190801898549704248478222916129931346719	
C1	0	0	0	0.08332981045375483098853235417776147578025774572259651355870146002866465875000265	0.1330948010891911875024095586936433997480037386118309884912122756551969779526881	0.03194487569539757509696432110686921163117593428263769966788749215067978948728601	0	0.000006600611799891033182291395399564113484160603877483153602016050772095673065368919	0.000006268254405156633963274113145598552032321610328991564645068043289480176445930632	0.00000594057158514269272011168017284329413092095585762119337198249794269897989730254	0.07086634379919432382001251604354541882514431700210412818302757698098474385511532	0.1449681047778599155137794493893560794553794366815242558735752427375288568229551	0.06521935594373649178814675292152690021965109765767686930041868070706102111687221	0.03493313225416580070367835906497192505608743966755374671290205382644274424481665	0.07398493033487212951378929700906793219886375277195700888343054148378316247650166	0.03493364162501853452901847192426590520157984536302449245325876546205487733516203	0.03265522350627964127548392008302019699049186143536431748349745830861648585420847	
C2	0	0	0	0.04166543667474468821275813537449341668142115903070599388629057153700072014523953	0.06654779693999400655103714107476571011774367050448876469666595196443109581259818	0.06388601008150250683080030988806126379409721726719852792493262633348941280128448	0.000002943844353272518325791298356176889477014780840784389980034206734890031025625866	0	0.000003149088709551054015539960209340284681601440758007817013415779071673183672365028	0.000002906061120141082202856532400382479262177563232704109438750481767437688798308242	0.03646475154531231552490174456840522859845123421622237102634739162474632745676433	0.06939261428962937701411621480671829606980399892381209772142733563297828383377297	0.02541919333313890030285750793244925624438442941439797683419070550952098413521005	0.01214789387539672969905728657804907500827956016775694069498435082911340634737855	0.02926113130999907457321946930994698087431843273826297096720069577033825207639597	0.01214831584247711146922864902022678945666875972475859058543368073703001011931908	0.01115036068040348219083921382137149619356553415370123072484291070865609028227831	
C3	0	0	0	0.05555424136512049834157340360906909898896764968652701559562932268982213543481364	0.1064762746529896286397161936275685849806252787994662324340449460018717105240853	0.09582903173379105204410933363302098123846782943876877704113765641743902780015794	0.000004273100321172264161017098594958249166337462962396106401296586178267148178111073	0.000003886084068395317057216620016902687652387496697249123741283702287895968660475388	0	0.00000407858983818432440995537131303404075427692784283024103682549636170234664832683	0.062268620128144981267740306386609540300542569547120593602150243824113180000611	0.05727939809310326315938497954038279097440329418225049228883122244362892989159084	0.01773762043768348684957455259375982180201612926363044489502826719500440937668094	0.01977958938984426554495666824562947469787516949230899230512599592303164396407275	0.01714699223905233665164976664879422661842135310574435196214985466366900021330599	0.01978042174949746921184120844746541333894004154215140479050623982322071576517088	0.01993372304482113022653195834388899022333841816867877033681396476829387629590749	
