Net: Toplevel network.	A1	A2	A3	A4	A5	Alt1	Alt2	Alt3	B1	B2	B3	C1	C2	C3	C4	D1	D2	
A1	0	0.00000599000705948999838598	0.00000479960761359778243805	0.00000654988056257522011968	0.00000542720933613229757715	0	0	0	0.0882155105327944919296	0.140664245075671236624	0.054303747631380799096	0.0126340039749231665438	0.100169552327337531614	0.0392584382019604317866	0.0500873212959310111573	0.0508703047753922278822	0.0479270499229436146298	
A2	0.00000451473458944037082933	0	0.0000043840519817147767665	0.00000631856761263531401312	0.00000569742046651643343578	0	0	0	0.0514121531317728454998	0.112204257162925090009	0.0819522035142140903863	0.0252637853831193362148	0.080136338260656434525	0.0157061004440405320729	0.10017007706581799881	0.0602255436073751619502	0.0484654674316622091639	
A3	0.00000650493896108119110438	0.00000616689555592321257093	0	0.00000572899596842846843077	0.00000576320193790344654222	0	0	0	0.114471219181523296835	0.096638162830865786058	0.091867517269629638205	0.0378929350794090828662	0.0601035959003558292465	0.0706614858923012041429	0.0200374967383272345157	0.0492764813490791865018	0.0539436765077238129637	
A4	0.00000668492184748485002272	0.00000676051007051413953341	0.00000749551140922304724084	0	0.00000729674328086025352975	0	0	0	0.11157842312879312299	0.107839399848478324278	0.14677297862280016101	0.126302490319600135551	0.0400729477326911719777	0.141321200484832170752	0.0901558888474868886896	0.0872785445132155735153	0.0892862690206301338484	
A5	0.00000689191996841540387666	0.0000064615679908688536988	0.00000766467352777839751058	0.00000522492625693091060634	0	0	0	0	0.134297412001905058667	0.0426290058218856684505	0.125078349572512636928	0.0884111180879208877339	0.0100211757615909108561	0.0235566739741602417644	0.0300540006399654079635	0.0517503388397340493681	0.0597774069033500754501	
Alt1	0.0958156408578260054643	0.119768311295901378891	0.0199671664739135987634	0.0149780318232229026573	0.149708616282649911575	0	0	0	0.0822011432512021854406	0.0605812704349620531366	0.0719263235531568083938	0.178709790422426111073	0.0633091638482620371794	0.110920971339244751203	0.227808190406618579338	0.0846636216991990300344	0.0685158369597717480948	
Alt2	0.111782795752325676632	0.0199667015043608575971	0.199606927097688666347	0.0748568455797423146166	0.0598867524533226527127	0	0	0	0.0400768546176325221936	0.0283573907579524318644	0.0419503858291811177394	0.0762957387566187087518	0.147764497231649906173	0.0959846949814207761698	0.131212107157993345151	0.0413506278365622015255	0.0325949565872275069295	
Alt3	0.0319426542872637898222	0.0998058906599489061179	0.0199670578523491879284	0.149706398938541161129	0.0299458208405096871496	0	0	0	0.0582846687044366965765	0.0916241327784680586608	0.0666859855890080331129	0.175147683458655666388	0.219078481206943494373	0.223246903913630287619	0.071133583973651311942	0.0572945766551942674188	0.0821972102075131229037	
B1	0.173609827773349974342	0.144463693839748213284	0.109222377285327053918	0.0546437419978790345338	0.0646831589409320286869	0	0	0	0	0.00000750292401817654337751	0.00000553613015394010150657	0.0310504495913184909488	0.0628925261097688543645	0.038085080193058711678	0.0503956957923755767696	0.0354012395821328008473	0.0334344443325469909737	
B2	0.1226650207407043183	0.129243001204141723656	0.0815724580648108751328	0.199103533500737937844	0.129362661681984138578	0	0	0	0.0000066155267179796207234	0	0.00000719117288709816183895	0.0606699269682734775397	0.0456682859007971984339	0.0595084165084925161932	0.0568615175374960345509	0.0707992661053729030527	0.0668660441672212375301	
B3	0.0839311433850556931422	0.106498999349903017545	0.189411252618300125882	0.126459010742287426324	0.186160327902233767312	0	0	0	0.00000626904974614630361662	0.00000467609978614764634657	0	0.0479486461265277521743	0.0311078631369277290575	0.0420753173987598359881	0.0324120265455776978124	0.0943965284329017919531	0.100295645618633504792	
C1	0.0652193559437364883573	0.0349331322541657924984	0.0739849303348721355478	0.0349336416250185254423	0.0326552235062796351106	0	0	0	0.0833298104537548334862	0.133094801089191199938	0.0319448756953975768343	0	0.00000660061179988837589443	0.00000626825440515325996414	0.00000594057158513911074424	0.0708663437991943243581	0.144968104777859918018	
C2	0.0254191933331388955771	0.012147893875396725131	0.0292611313099990731305	0.0121483158424771062907	0.0111503606804034783718	0	0	0	0.0416654366747446896575	0.0665477969399940128982	0.0638860100815025092994	0.00000294384435327074647732	0	0.00000314908870954944325721	0.00000290606112013946523937	0.0364647515453123170114	0.0693926142896293729899	
C3	0.0177376204376834812753	0.0197795893898442579074	0.0171469922390523334525	0.0197804217494974612425	0.0199337230448211241841	0	0	0	0.0555542413651205003623	0.106476274652989621126	0.0958290317337910380601	0.00000427310032116927707128	0.00000388608406839320375008	0	0.00000407858983818157578833	0.0622686201281449773904	0.0572793980931032584878	
